Step: 1810, Loss: 0.0443 (Seg: 0.0321, Score: 0.2429), Batch IoU: 0.4664, Mean IoU: 0.4648
Step: 1820, Loss: 0.0660 (Seg: 0.0545, Score: 0.2291), Batch IoU: 0.3717, Mean IoU: 0.4639
Step: 1830, Loss: 0.0360 (Seg: 0.0253, Score: 0.2156), Batch IoU: 0.4870, Mean IoU: 0.4641
Step: 1840, Loss: 0.0502 (Seg: 0.0355, Score: 0.2931), Batch IoU: 0.4554, Mean IoU: 0.4640
Step: 1850, Loss: 0.0637 (Seg: 0.0499, Score: 0.2749), Batch IoU: 0.4093, Mean IoU: 0.4635
Step: 1860, Loss: 0.0578 (Seg: 0.0424, Score: 0.3085), Batch IoU: 0.4296, Mean IoU: 0.4631
Step: 1870, Loss: 0.0519 (Seg: 0.0386, Score: 0.2644), Batch IoU: 0.4742, Mean IoU: 0.4632
Step: 1880, Loss: 0.0396 (Seg: 0.0260, Score: 0.2726), Batch IoU: 0.5029, Mean IoU: 0.4636
Step: 1890, Loss: 0.0458 (Seg: 0.0338, Score: 0.2395), Batch IoU: 0.4235, Mean IoU: 0.4632
Step: 1900, Loss: 0.0477 (Seg: 0.0346, Score: 0.2621), Batch IoU: 0.4140, Mean IoU: 0.4627
Step: 1910, Loss: 0.0521 (Seg: 0.0386, Score: 0.2689), Batch IoU: 0.3832, Mean IoU: 0.4619
Step: 1920, Loss: 0.0436 (Seg: 0.0306, Score: 0.2589), Batch IoU: 0.4596, Mean IoU: 0.4619
Step: 1930, Loss: 0.0571 (Seg: 0.0467, Score: 0.2074), Batch IoU: 0.4142, Mean IoU: 0.4614
Step: 1940, Loss: 0.0439 (Seg: 0.0305, Score: 0.2681), Batch IoU: 0.5088, Mean IoU: 0.4619
Step: 1950, Loss: 0.0538 (Seg: 0.0418, Score: 0.2403), Batch IoU: 0.3788, Mean IoU: 0.4611
Step: 1960, Loss: 0.0419 (Seg: 0.0308, Score: 0.2214), Batch IoU: 0.4523, Mean IoU: 0.4610
Step: 1970, Loss: 0.0259 (Seg: 0.0167, Score: 0.1842), Batch IoU: 0.6526, Mean IoU: 0.4629
Step: 1980, Loss: 0.0535 (Seg: 0.0355, Score: 0.3592), Batch IoU: 0.4082, Mean IoU: 0.4624
Step: 1990, Loss: 0.0474 (Seg: 0.0331, Score: 0.2856), Batch IoU: 0.4482, Mean IoU: 0.4622
Step: 2000, Loss: 0.0494 (Seg: 0.0408, Score: 0.1719), Batch IoU: 0.3871, Mean IoU: 0.4615
Step: 2010, Loss: 0.0429 (Seg: 0.0306, Score: 0.2466), Batch IoU: 0.4916, Mean IoU: 0.4618
Step: 2020, Loss: 0.0356 (Seg: 0.0263, Score: 0.1869), Batch IoU: 0.4923, Mean IoU: 0.4621
Step: 2030, Loss: 0.0388 (Seg: 0.0262, Score: 0.2519), Batch IoU: 0.4679, Mean IoU: 0.4621
Step: 2040, Loss: 0.0633 (Seg: 0.0510, Score: 0.2465), Batch IoU: 0.3907, Mean IoU: 0.4614
Step: 2050, Loss: 0.0336 (Seg: 0.0233, Score: 0.2065), Batch IoU: 0.5979, Mean IoU: 0.4628
Step: 2060, Loss: 0.0512 (Seg: 0.0367, Score: 0.2906), Batch IoU: 0.3560, Mean IoU: 0.4617
Step: 2070, Loss: 0.0543 (Seg: 0.0440, Score: 0.2067), Batch IoU: 0.4001, Mean IoU: 0.4611
Step: 2080, Loss: 0.0540 (Seg: 0.0383, Score: 0.3134), Batch IoU: 0.3973, Mean IoU: 0.4605
Step: 2090, Loss: 0.0366 (Seg: 0.0251, Score: 0.2309), Batch IoU: 0.5980, Mean IoU: 0.4618
Step: 2100, Loss: 0.0534 (Seg: 0.0383, Score: 0.3023), Batch IoU: 0.4761, Mean IoU: 0.4620
Step: 2110, Loss: 0.0364 (Seg: 0.0248, Score: 0.2306), Batch IoU: 0.4653, Mean IoU: 0.4620
Step: 2120, Loss: 0.0336 (Seg: 0.0233, Score: 0.2056), Batch IoU: 0.5638, Mean IoU: 0.4630
Step: 2130, Loss: 0.0628 (Seg: 0.0497, Score: 0.2617), Batch IoU: 0.4415, Mean IoU: 0.4628
Step: 2140, Loss: 0.0443 (Seg: 0.0289, Score: 0.3079), Batch IoU: 0.4300, Mean IoU: 0.4625
Step: 2150, Loss: 0.0455 (Seg: 0.0309, Score: 0.2918), Batch IoU: 0.4843, Mean IoU: 0.4627
Step: 2160, Loss: 0.0740 (Seg: 0.0619, Score: 0.2405), Batch IoU: 0.4285, Mean IoU: 0.4624
Step: 2170, Loss: 0.0368 (Seg: 0.0256, Score: 0.2234), Batch IoU: 0.4877, Mean IoU: 0.4626
Step: 2180, Loss: 0.0404 (Seg: 0.0280, Score: 0.2472), Batch IoU: 0.4678, Mean IoU: 0.4627
Step: 2190, Loss: 0.0560 (Seg: 0.0453, Score: 0.2122), Batch IoU: 0.4539, Mean IoU: 0.4626
Step: 2200, Loss: 0.0432 (Seg: 0.0319, Score: 0.2254), Batch IoU: 0.5681, Mean IoU: 0.4636
Step: 2210, Loss: 0.0460 (Seg: 0.0302, Score: 0.3154), Batch IoU: 0.4875, Mean IoU: 0.4639
Step: 2220, Loss: 0.0455 (Seg: 0.0309, Score: 0.2912), Batch IoU: 0.4163, Mean IoU: 0.4634
